20191026,渝北,龙溪,长安锦绣城 2室1厅 东 东南,110万,高楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 62平米                                  | 东 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_ca0OfhIp9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,近轻轨长安锦绣城住家精装修三室一厨两卫,190万,高楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 117平米                                  | 南 西南,https://ke-image.ljcdn.com/500000-inspection/prod-b592789b-f357-44e0-a147-82beca82c3bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,锦绣城正规两房 户型方正 朝小区中庭 位置安静不吵闹,135万,高楼层(共28层)                                                    | 2009年建 |                                 2室2厅 | 81平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_Vnu8VHys8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,锦绣城正规三房，大阳台户型，视野无遮挡，位置安静,180万,高楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 119平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-95c8322e-4ff4-40a0-8371-354b6781ff94.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,锦绣城横厅三房 朝南朝小区 视野好 近商圈 近轻轨,206万,高楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 131.62平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_u0RE92tJF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,新牌坊天一桂湖花园住家两房，业主急售看房子方便，,70万,高楼层(共7层)                                                    | 2003年建 |                                 2室2厅 | 71.22平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-beb7244e-d8a2-4d47-8f7b-f526bd50da79.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,北城国际小两房 户型方正 居家装修 位置安静,94万,高楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 59.57平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3954d315-e760-4be7-865c-9ea526f3e05a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,此房已经满二年，户型方正标准。，精装修拎包入住。,155万,低楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 100平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_AyWvXNuvq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,渝北 加州北城国际 正规两房 带大阳台,125万,低楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-c1eec2e9-b7a0-48ac-9579-f61c8dec2825.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,渝北 加州商圈 北城国际 两室一厅 拎包入住,90万,中楼层(共33层)                                                    | 2009年建 |                                 2室1厅 | 55平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-c1237f9c-16cf-4400-b113-1107975f9303.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,北城国际 装修两房 便宜出售 随时看房 价格可谈,90万,中楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 59.57平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/prod-d1767f78-f0a4-4fb1-a123-106c2fe1664b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,北城国际精装小两房、采光视野好拎包住！,93万,高楼层(共33层)                                                    | 2009年建 |                                 2室1厅 | 55平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-c3d80365-9ade-4008-a668-5ad5b5c27083.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,房子有装修，可拎包入住，出行便利，小区带游泳池。,63万,高楼层(共33层)                                                    | 2009年建 |                                 1室0厅 | 43平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_J6ynvcuQL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,长安锦绣城小两房，住家安静，拎包入住。,112万,高楼层(共33层)                                                    | 2008年建 |                                 2室1厅 | 66平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7b10f729-a0f8-4586-9afa-3c2e93ac91ce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,嘉州 锦绣城正两房 住家装修保养好 近轻轨商圈,146万,中楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 82.81平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_zL3KtVCc3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,锦绣城正规大两房，户型方正，带双阳台，朝向安静,162万,高楼层(共33层)                                                    | 2011年建 |                                 2室2厅 | 90平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-2912f74f-f55d-49e0-9add-ba926f9e697a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,新牌坊，朝中庭看湖大户型，诚心卖，搞块买，安静的很,140万,高楼层(共15层)                                                    | 2003年建 |                                 3室2厅 | 151.79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_5AAX8WGEM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,嘉州 锦绣城正三房 朝南朝中庭 近轻轨商圈,205万,高楼层(共32层)                                                    | 2012年建 |                                 3室2厅 | 123平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_pGk5tFYw6_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,加州轻轨站旁，清水3房，视野好，采光好,205万,高楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 127平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-47f866f5-d06a-4b1c-afb5-86ead008b8e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,长安锦绣城一室一厅住家装修近嘉州路轻轨,86万,中楼层(共33层)                                                    | 2010年建 |                                 1室1厅 | 45.64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-52bea124-3227-4cba-a393-dc025fdad261.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,龙溪,单间配套  户型方正 采光充足  装修保养得很好,65万,高楼层(共30层)                                                    | 2011年建 |                                 1室0厅 | 47.96平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ofBfdqm8w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
