20191026,南岸,丹龙路,龙湖物业，70年大产权，视野开阔，无任何浪费面积,155万,高楼层(共33层)                                                    | 2013年建 |                                 3室2厅 | 121平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_5hOcDP1Nd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,南岸 海峡路轻轨旁 江南世家 两房精装修,70万,高楼层(共33层)                                                    | 2008年建 |                                 2室1厅 | 52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b4b96afe-05d7-4d4c-bd4a-41a95584338f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,恒基翔龙江畔，房子看江，采光视野好，楼盘新,166万,高楼层(共33层)                                                    | 2013年建 |                                 3室2厅 | 124平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-96498a66-b210-431a-96a9-8b7e8fe15c32.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,骏逸天下 装修看江三房 朝中庭 视野开阔 住家安静,145万,高楼层(共26层)                                                    | 2004年建 |                                 3室2厅 | 128.06平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/pc1_8kQXPfLg5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,轻轨旁精装修三房 看一线江景 装修9成新可拎包入住,185万,中楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 135.81平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8eb0d7c2-2365-4ab7-9bc2-e577c79de6ed.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,海峡路轻轨品质洋房+出门就是轻轨+清水三房,180万,低楼层(共8层)                                                    | 2016年建 |                                 3室1厅 | 113.08平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-26037d1c-e5af-4954-bdf5-4b457d0cc195.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,丹龙路+东原亲亲里+清水三房+新世纪超市+可看江,105万,高楼层(共32层)                                                    | 2012年建 |                                 3室2厅 | 76.42平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-d43faec8-591d-4c6b-88f8-a9aae931cc71.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,南坪 东原亲亲里 精装2房 轻轨站,88万,高楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 59平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_pz6CrZqwa_2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,东原亲亲里  精装一室一厅 配套设施齐全,83万,低楼层(共34层)                                                    | 2012年建 |                                 2室1厅 | 61.97平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_V6kjy0lJe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,功能性小两房+南坪商圈+换线10号线南湖换乘站+诚心卖,75万,高楼层(共34层)                                                    | 2011年建 |                                 2室1厅 | 49.91平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_aaMub7XHo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,丹龙路,南滨路 江景大平层 龙湖物业 旁边就是110亩市政公园,200万,高楼层(共33层)                                                    | 2013年建 |                                 4室2厅 | 158平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b10d2589-50f3-45bf-905d-fbf950098008.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
