20191026,南岸,南坪,轻轨楼下，精装两房，交通极为便利,67.9万,高楼层(共30层)                                                    | 2007年建 |                                 2室1厅 | 63.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8c661618-7bed-4af1-8d5f-2a2bf7db7878.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,南坪东路 精装楼梯三房  业主诚心出售  看房方便,73万,中楼层(共10层)                                                    | 2000年建 |                                 3室2厅 | 91.56平米                                  | 东南 北,https://ke-image.ljcdn.com/500000-inspection/prod-ae92149f-5779-437c-a752-afb889b35801.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,南坪商圈 上海城旁 亚美精装2房仅售78万 带家电,78万,低楼层(共33层)                                                    | 2014年建 |                                 2室1厅 | 62.94平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-19ef5891-185f-466a-af37-0d5dedb8e755.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,近轻轨的 一室一厅 业主诚心急卖  精装修,68万,低楼层(共17层)                                                    | 2003年建 |                                 1室1厅 | 57平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_reAhcPW1B.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,电建小区  小区大 绿化比较好   楼层低,57.8万,中楼层(共8层)                                                    | 1997年建 |                                 2室2厅 | 73.3平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_2rkVpY8RP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,南坪 宏声路 南滨印象 住家装修 业主诚心出售,72万,中楼层(共7层)                                                    | 2003年建 |                                 2室1厅 | 76.73平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-5845feef-7fe5-41e0-96c5-ea9608255f35.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,房屋是跃层结构，两房，动静分区，居家安静！,94万,高楼层(共23层)                                                    | 2010年建 |                                 2室1厅 | 70.59平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_0MfV2YWZQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,3号线 工贸站 浪高会展国际 精装小户型 交通方便,44万,低楼层(共30层)                                                    | 2007年建 |                                 1室1厅 | 43.2平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6ac54d93-f08b-4b47-8bf4-5bb794dc87c3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,采光通透，无黑屋，视野开阔，住家安静,75万,地下室(共18层)                                                    | 2009年建 |                                 3室2厅 | 70平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c46275f8-2a1a-4d22-8c8d-eddf7b5501aa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,和记黄埔御峰 3室2厅 西,140万,中楼层(共34层)                                                    | 2017年建 |                                 3室2厅 | 108平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-5d2b9c75-dfc4-4197-9056-6b064d602882.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,南坪商圈 万寿花园 正规两房 带指标 中间楼层,57万,中楼层(共9层)                                                    | 1995年建 |                                 2室1厅 | 64.08平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_D1aZIhQVX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,超大露台70平，正规大四房双卫，户型方正，你值得拥有,200万,低楼层(共30层)                                                    | 2005年建 |                                 4室2厅 | 137平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_IbNH0zDML_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,上海城  中装 大三房  业主诚心出售,175万,高楼层(共25层)                                                    | 2006年建 |                                 3室2厅 | 124.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e94e752a-b028-4e60-93c7-daaad4c495c3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,亚太商谷  精装一室一厅  采光好  带家电家具,48万,低楼层(共27层)                                                    | 2008年建 |                                 1室1厅 | 38.38平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-85d3df32-14f1-47d4-9807-f45f745451c5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,万达商圈  南坪轻轨站边上正规三房  业主急售 精装修,108万,中楼层(共32层)                                                    | 2010年建 |                                 3室2厅 | 81.03平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_aVRF5drZA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南坪,海棠晓月正规一室一厅 证在手  单价便宜总价低,59万,中楼层(共18层)                                                    | 2000年建 |                                 1室1厅 | 49平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_Y41phfbaF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
