20191026,南岸,南滨路,阳光100 住家装修 居家安静,115万,低楼层(共34层)                                                    | 2007年建 |                                 2室2厅 | 87.6平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-ce027dcc-dde3-42fb-b9fa-626251954f82.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,武夷滨江 毛坯四房 带入户花园 可以看江 安静居家,245万,低楼层(共24层)                                                    | 2015年建 |                                 4室2厅 | 164.14平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/test-85503ad2-7731-451c-9025-d2bd24d3bb77.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,长嘉汇三室一厅可看江 位置很好,248万,低楼层(共32层)                                                    | 2013年建 |                                 3室1厅 | 152平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_I6tvdB7Gm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,南滨路武夷滨江看江效果180度，住家安静，精装修,182万,中楼层(共32层)                                                    | 2012年建 |                                 3室2厅 | 135.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2c845f75-3ed2-4269-ade5-f23cc1e7b3a8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,阳光100 朝南 采光好 视野开阔 拎包入住,118万,中楼层(共29层)                                                    | 2007年建 |                                 3室2厅 | 92.96平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_fM7EyICXC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,聚丰江山里  正规的一室一厅 带大露台,68万,低楼层(共20层)                                                    | 2008年建 |                                 1室1厅 | 53平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_xHYU2DFvP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,边套3房 采光充足 纯毛坯 可随意装修 可侧看江,136万,中楼层(共32层)                                                    | 2009年建 |                                 3室1厅 | 105.98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f6e4ef14-2329-41a1-a7c1-954ed1346c45.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,阳光100江景正3房 带衣帽间 看朝天门 视野开阔 单价低,177万,中楼层(共32层)                                                    | 2009年建 |                                 3室2厅 | 136.61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_5DD3gqrhf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,长嘉汇两江峯品质小区，少量跃层，视野开阔,260万,高楼层(共35层)                                                    | 2018年建 |                                 4室2厅 | 134.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_8k8ycpjjy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,南岸,南滨路,阳光华庭正规三房两卫，通透户型，住家装修保持新,153万,中楼层(共19层)                                                    | 2002年建 |                                 3室2厅 | 148.48平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-3ce49586-c6ff-439a-9bb1-d8a7f5f7674d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
