20191026,渝北,龙溪,长安锦绣城,16676元/m2,151套在售二手房
20191026,渝北,龙溪,北城国际中心,15260元/m2,115套在售二手房
20191026,渝北,龙溪,恒大御都会,18085元/m2,11套在售二手房
20191026,渝北,龙溪,鼎祥风华美锦,15731元/m2,27套在售二手房
20191026,渝北,龙溪,伟清泊客,15608元/m2,48套在售二手房
20191026,渝北,龙溪,米兰天空,12670元/m2,23套在售二手房
20191026,渝北,龙溪,天一桂湖花源,10870元/m2,15套在售二手房
20191026,渝北,龙溪,金华苑小区,10728元/m2,14套在售二手房
20191026,渝北,龙溪,建峰小区,12210元/m2,6套在售二手房
20191026,渝北,龙溪,天和美舍,10167元/m2,9套在售二手房
20191026,渝北,龙溪,兰天阁,10796元/m2,0套在售二手房
20191026,渝北,龙溪,北城新城小居,11272元/m2,0套在售二手房
20191026,渝北,龙溪,升辉雅舍,10682元/m2,4套在售二手房
20191026,渝北,龙溪,富渝大厦,11820元/m2,4套在售二手房
20191026,渝北,龙溪,兰苑小居,14346元/m2,6套在售二手房
20191026,渝北,龙溪,馨蒂丽苑,14783元/m2,2套在售二手房
20191026,渝北,龙溪,千集汇,暂无,0套在售二手房
20191026,渝北,龙溪,渝北大厦,10771元/m2,1套在售二手房
