20191026,力帆时代,12000,75万
20191026,融创春晖十里,14000,0
20191026,中铁万国城,15000,164万
20191026,绿地保税中心,12000,45万
20191026,英利国际广场,15000,0
20191026,融科金开中心,12000,0
20191026,恒大优活城,14000,267万
20191026,国兴北岸江山,12500,80万
20191026,华商悦江府,14900,190万
20191026,华润二十四城,28000,0
20191026,重庆天安数码城云谷,8000,0
20191026,通用晶城,15500,95万
20191026,联发欣悦,20000,0
20191026,润丰水尚,15000,0
20191026,重庆总部城,13000,0
20191026,澳海御江苑,7000,65万
20191026,蓝光未来城,价格待定,0
20191026,金茂悦,23000,0
20191026,重庆来福士广场,33000,900万
20191026,远洋城,35000,0
20191026,恒大新城,10000,85万
20191026,中骏雍景湾,6600,64万
20191026,启迪协信星麓原,价格待定,0
20191026,中迪广场,16000,0
20191026,佳兆业广场,10000,0
20191026,新宝龙钻石国际,16000,0
20191026,鎏嘉码头雲曜公寓,20000,125万
20191026,金科南山,价格待定,0
20191026,贝蒙天地,7900,26万
20191026,旭辉城,20000,0
20191026,都汇里,10000,0
20191026,中铁北美时光,19000,0
20191026,重庆华南城,21000,0
20191026,鲁能北渝星城,9500,90万
20191026,融景城,150,0
20191026,和泓江山国际,60000,0
20191026,巴南新鸥鹏教育城,20000,0
20191026,东邦小悦湾,10500,83万
20191026,恒大麓山湖,价格待定,131万
20191026,中迪广场,80000,0
20191026,英利国际金融中心,25000,0
20191026,华南城巴南华府,8200,63万
20191026,西部人才产业园,9400,35万
20191026,西海岸凯悦,6000,58万
20191026,俊峰香格里拉,40000,0
20191026,鲁能领秀城,25000,0
20191026,金融街融景中心,16000,0
20191026,商社汇星旺角,40000,0
20191026,恒大优活城,25000,0
20191026,荣盛滨江华府,价格待定,0
20191026,万科金色悦城,18500,0
20191026,竞发岩湾六十九号,价格待定,0
20191026,江北嘴金融城,29700,0
20191026,国奥村,400,350万
20191026,金阳第一农场大学城,价格待定,0
20191026,协信世外桃源,15000,0
20191026,富州新城兰亭,58000,0
20191026,棕榈泉山顶别墅,3000,2400万
20191026,荣盛锦绣南山,价格待定,0
20191026,宝嘉花与山,15000,0
20191026,梵悦天御,34000,428万
20191026,天空雲镜,价格待定,0
20191026,协信世外桃源,206,215万
20191026,佳兆业滨江新城,18000,0
